ID	DOI	metalanguage	objectlanguage	license	creators	title	year	edited	superseded	pages	series	seriesnumber
280	10.5281/zenodo.5155544	eng		CC-BY	Blümel, Andreas, Gajić, Jovana, Geist, Ljudmila, Junghanns, Uwe & Pitsch, Hagen 	Advances in formal Slavic linguistics 2018	2021	(eds.)	False		Open Slavic Linguistics	4
281	10.5281/zenodo.4121875	eng		CC-BY	Roessig, Simon	Categoriality and continuity in prosodic prominence	2021		False		Studies in Laboratory Phonology	10
282	10.5281/zenodo.4054814	eng		CC-BY	Næss, Åshild, Margetts, Anna & Treis, Yvonne 	Demonstratives in discourse	2020	(eds.)	False		Topics at the Grammar-Discourse Interface	6
283	10.5281/zenodo.4049471	eng		CC-BY	Balogh, Kata, Latrouite, Anja & Van Valin, Robert D. 	Nominal anchoring: Specificity, definiteness and article systems across languages	2020	(eds.)	False		Topics at the Grammar-Discourse Interface	5
286	10.5281/zenodo.4269397	eng		CC-BY	Aussant, Émilie & Fortis, Jean-Michel 	Historical journey in a linguistic archipelago: Descriptive concepts and case studies	2020	(eds.)	False		History and Philosophy of the Language Sciences	3
287	10.5281/zenodo.3992307	eng	nyak1261	CC-BY	Müller, Stefan	Grammatical theory: From transformational grammar to constraint-based approaches. Fourth revised and extended edition	2020		False		Textbooks in Language Sciences	1
288	10.5281/zenodo.4544686	eng		CC-BY	Tra&Co  Group, ᠎	Translation, interpreting, cognition: The way out of the box	2021		False		Translation and Multilingual Natural Language Processing	15
289	10.5281/zenodo.5589446	eng		CC-BY	Hakimov, Nikolay	Explaining Russian-German code-mixing: A usage-based approach	2021		False		Contact and Multilingualism	3
290	10.5281/zenodo.4449726	eng		CC-BY	Pinto, Jorge & Alexandre, Nélia 	Multilingualism and third language acquisition: Learning and teaching trends	2021	(eds.)	False		Contact and Multilingualism	2
293	10.5281/zenodo.5578772	eng		CC-BY	Akinlabi, Akinbiyi, Bickmore, Lee, Cahill, Michael, Diercks, Michael, Downing, Laura J, Essegbey, James, Franich, Katie & McPherson, Laura 	Celebrating 50 years of ACAL: Selected papers from the 50th Annual Conference on African Linguistics	2021	(eds.)	False		Contemporary African Linguistics	7
295	10.5281/zenodo.4548232	eng	japh1234	CC-BY	Jacques, Guillaume	A grammar of Japhug	2021		False		Comprehensive Grammar Library	1
296	10.5281/zenodo.4450014	eng		CC-BY	Bisiada, Mario	Empirical studies in translation and discourse	2021		False		Translation and Multilingual Natural Language Processing	14
297	10.5281/zenodo.4287412	eng		CC-BY	Persohn, Bastian	The  Verb in Nyakyusa: A focus on tense, aspect, and modality (Second edition)	2020		False		Contemporary African Linguistics	2
298	10.5281/zenodo.4737370	eng	gyel1242	CC-BY	Grimm, Nadine	A grammar of Gyeli	2021		False		Comprehensive Grammar Library	2
299	10.5281/zenodo.4456792	eng		CC-BY	Shim, Ji Young	OV and VO variation in code-switching	2021		False		Current Issues in Bilingualism	1
303	10.5281/zenodo.5040241	eng		CC-BY	Tahmasebi, Nina, Borin, Lars, Jatowt, Adam, Xu, Yang & Hengchen, Simon 	Computational approaches to semantic change	2021	(eds.)	False		Language Variation	6
304	10.5281/zenodo.4727623	eng		CC-BY	Trklja, Aleksandar & Grabowski, Łukasz 	Formulaic language: Theories and methods	2021	(eds.)	False		Phraseology and Multiword Expressions	5
305	10.5281/zenodo.4954364	eng		CC-BY	Zimmer, Christian	German(ic) in language contact: Grammatical and sociolinguistic dynamics	2021		False		Language Variation	5
308	10.5281/zenodo.5137647	eng	surs1245	CC-BY	Maurer-Cecchini, Philippe	A grammar of Tuatschin: A Sursilvan Romansh dialect	2021		False		Comprehensive Grammar Library	3
311	10.5281/zenodo.5142265	eng		CC-BY	McElvenny, James & Ploder, Andrea 	Holisms of communication: The early history of audio-visual sequence analysis	2021	(eds.)	False		History and Philosophy of the Language Sciences	4
313	10.5281/zenodo.5378471	eng		CC-BY	Berthele, Raphael & Udry, Isabelle 	Individual differences in early instructed language learning: The role of language aptitude, cognition, and motivation	2021	(eds.)	False		EuroSLA Studies	5
315	10.5281/zenodo.5948872	eng		CC-BY	Bahrt, Nicklas N.	Voice syncretism	2021		False		Research on Comparative Grammar	1
316	10.5281/zenodo.5082006	eng		CC-BY	Dočekal, Mojmír & Wągiel, Marcin 	Formal approaches to number in Slavic and beyond	2021	(eds.)	False		Open Slavic Linguistics	5
317	10.5281/zenodo.5106382	eng		CC-BY	Wągiel, Marcin	Subatomic quantification	2021		False		Open Slavic Linguistics	6
318	10.5281/zenodo.5506578	eng		CC-BY	Diewald, Gabriele & Politt, Katja 	Paradigms regained: Theoretical and empirical arguments for the reassessment of the notion of paradigm	2022	(eds.)	False		Empirically Oriented Theoretical Morphology and Syntax	10
319	10.5281/zenodo.5646896	eng		CC-BY	Nitzke, Jean & Hansen-Schirra, Silvia	A short guide to post-editing	2021		False		Translation and Multilingual Natural Language Processing	16
320	10.5281/zenodo.5721159	eng		CC-BY	Archangeli, Diana & Pulleyblank, Douglas	Emergent phonology	2022		False		Conceptual Foundations of Language Science	7
321	10.5281/zenodo.5596236	eng		CC-BY	Lemke, Robin	Experimental investigations on the syntax and usage of fragments	2021		False		Open Germanic Linguistics	1
323	10.5281/zenodo.5140049	eng		CC-BY	Laszakovits, Sabine & Shen, Zheng 	The size of things I: Structure building	2021	(eds.)	False		Open Generative Syntax	12
325	10.5281/zenodo.5820515	eng		CC-BY	Pozdniakov, Konstantin	Proto-Fula–Sereer: Lexicon, morphophonology, and noun classes	2022		False		Niger-Congo Comparative Studies	3
326	10.5281/zenodo.5548947	eng	ruul1235	CC-BY	Namyalo, Saudah, Witzlack-Makarevich, Alena, Kiriggwajjo, Anatole, Atuhairwe, Amos, Molochieva, Zarina, Mukama, Ruth Gimbo  & Zellers, Margaret	A dictionary and grammatical sketch of Ruruuli-Lunyala	2021		False		African Language Grammars and Dictionaries	5
327	10.5281/zenodo.5509618	eng		CC-BY	Anderson, Stephen R. 	Phonology in the Twentieth Century : Second edition, revised and expanded	2021		False		History and Philosophy of the Language Sciences	5
329	10.5281/zenodo.5482405	eng	swed1254	CC-BY	Larsson, Ida & Petzell, Erik M. 	Morphosyntactic change in Late Modern Swedish	2021	(eds.)	False		Open Germanic Linguistics	2
334	10.5281/zenodo.6546419	eng		CC-BY	Lund, Kristine, Basso Fossali , Pierluigi, Mazur, Audrey &  Ollagnier-Beldame, Magali 	Language is a complex adaptive system: Explorations and evidence	2022	(eds.)	False		Conceptual Foundations of Language Science	8
339	10.5281/zenodo.5792972	eng		CC-BY	Kolaković, Zrinka, Jurkiewicz-Rohrbacher, Edyta, Hansen, Björn, Filipović Đurđević, Dušica & Fritz, Nataša	Clitics in the wild : Empirical studies on the microvariation of the pronominal, reflexive and verbal clitics in Bosnian, Croatian and Serbian.	2022		False		Open Slavic Linguistics	7
340	10.5281/zenodo.5902971	eng		CC-BY	Hoberg, Felix	Informationsintegration in mehrsprachigen Textchats: Der Skype Translator im Sprachenpaar Katalanisch-Deutsch	2022		False		Translation and Multilingual Natural Language Processing	17
341	10.5281/zenodo.6207627	eng		CC-BY	Paulsen, Ingrid	The  emergence of American English as a discursive variety : Tracing enregisterment processes in nineteenth-century U.S. newspapers	2022		False		Language Variation	7
342	10.5281/zenodo.6653406	eng		CC-BY	Kenny, Dorothy	Machine translation for everyone: Empowering users in the age of artificial intelligence	2022		False		Translation and Multilingual Natural Language Processing	18
344	10.5281/zenodo.6499927	eng		CC-BY	Visser, Eline	A grammar of Kalamang	2022		False		Comprehensive Grammar Library	4
346	10.5281/zenodo.6560337	eng		CC-BY	Hejná, Míša & Walkden, George	A history of English	2022		False		Textbooks in Language Sciences	9
