ID	DOI	metalanguage	objectlanguage	license	creators	title	year	edited	superseded	pages	series	seriesnumber
123	10.5281/zenodo.1182527	eng		CC-BY	Gutman, Ariel	Attributive constructions in North-Eastern Neo-Aramaic	2018		False		Studies in Diversity Linguistics	15
124	10.5281/zenodo.235525	eng	rapa1244	CC-BY	Kieviet, Paulus	A grammar of Rapa Nui	2017		False		Studies in Diversity Linguistics	12
132	10.5281/zenodo.1089335	eng		CC-BY	Hansen-Schirra, Silvia, Czulo, Oliver & Hofmann, Sascha 	Empirical modelling of translation and interpreting	2017	(eds.)	False		Translation and Multilingual Natural Language Processing	7
134	10.5281/zenodo.1067783	deu		CC-BY	Baechler, Raffaela	Absolute Komplexität in der Nominalflexion: Althochdeutsch, Mittelhochdeutsch, Alemannisch und deutsche Standardsprache	2017		False		Morphological Investigations	2
137	10.5281/zenodo.814472	eng		CC-BY	Roettger, Timo B.	Tonal placement in Tashlhiyt: How an intonation system accommodates to adverse phonological environments	2017		False		Studies in Laboratory Phonology	3
141	10.5281/zenodo.926408	eng		CC-BY	Persohn, Bastian	The Verb in Nyakyusa: A focus on tense, aspect, and modality	2017		True		Contemporary African Linguistics	2
142	10.5281/zenodo.5524633	eng		CC-BY	Boeckx, Cedric	Reflections on language evolution: From minimalism to pluralism	2021		False		Conceptual Foundations of Language Science	6
143	10.5281/zenodo.1000504	fra		CC-BY	Roussarie, Laurent	Sémantique formelle: Volume 1 : Introduction à la grammaire de Montague	2017		False		Textbooks in Language Sciences	4
144	10.5281/zenodo.1164112	eng		CC-BY	Kroeger, Paul	Analyzing meaning: An introduction to semantics and pragmatics	2019		True		Textbooks in Language Sciences	5
148	10.5281/zenodo.3735822	eng		CC-BY-SA	Stefanowitsch, Anatol	Corpus linguistics: A guide to the methodology	2020		False		Textbooks in Language Sciences	7
